,station,year,month,day,daily rainfall total (mm),highest 30 min rainfall (mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature (°c),maximum temperature (°c),minimum temperature (°c),mean wind speed (km/h),max wind speed (km/h),mean temperature (â°c),maximum temperature (â°c),minimum temperature (â°c)
0,Admiralty,2020.0,1.0,1.0,0.0,0.0,0.0,0.0,27.5,31.1,25.4,22.0,56.5,,,
1,Admiralty,2020.0,1.0,2.0,0.0,0.0,0.0,0.0,27.4,30.3,25.0,20.2,57.6,,,
2,Admiralty,2020.0,1.0,3.0,0.2,0.2,0.2,0.2,27.5,30.4,25.7,22.7,52.2,,,
3,Admiralty,2020.0,1.0,4.0,7.0,6.2,6.8,7.0,26.7,30.3,25.2,20.9,58.7,,,
4,Admiralty,2020.0,1.0,5.0,0.0,0.0,0.0,0.0,27.6,31.6,25.1,22.3,45.4,,,
5,Admiralty,2020.0,1.0,6.0,4.8,1.6,2.8,3.8,26.0,30.7,23.8,18.0,51.5,,,
6,Admiralty,2020.0,1.0,7.0,2.0,0.8,1.4,1.8,25.9,29.6,23.3,18.7,54.7,,,
7,Admiralty,2020.0,1.0,8.0,1.2,1.2,1.2,1.2,27.2,30.8,25.0,20.9,50.0,,,
8,Admiralty,2020.0,1.0,9.0,0.0,0.0,0.0,0.0,27.5,31.3,25.6,22.3,52.2,,,
9,Admiralty,2020.0,1.0,10.0,0.4,0.4,0.4,0.4,26.9,30.3,25.1,16.2,43.9,,,
10,Admiralty,2020.0,1.0,11.0,0.0,0.0,0.0,0.0,27.3,30.1,25.1,15.1,35.6,,,
11,Admiralty,2020.0,1.0,12.0,0.0,0.0,0.0,0.0,27.7,32.4,25.1,15.1,38.5,,,
12,Admiralty,2020.0,1.0,13.0,0.0,0.0,0.0,0.0,27.2,31.7,24.3,19.1,43.6,,,
13,Admiralty,2020.0,1.0,14.0,0.0,0.0,0.0,0.0,27.2,31.8,24.6,20.9,45.0,,,
14,Admiralty,2020.0,1.0,15.0,1.0,1.0,1.0,1.0,27.2,30.5,25.2,19.8,49.0,,,
15,Admiralty,2020.0,1.0,16.0,0.2,0.2,0.2,0.2,27.5,31.6,25.9,17.3,38.9,,,
16,Admiralty,2020.0,1.0,17.0,0.0,0.0,0.0,0.0,27.8,32.4,24.8,19.8,42.8,,,
17,Admiralty,2020.0,1.0,18.0,0.2,0.2,0.2,0.2,27.7,32.1,25.4,19.1,43.9,,,
18,Admiralty,2020.0,1.0,19.0,0.0,0.0,0.0,0.0,28.0,32.6,25.6,22.0,47.9,,,
19,Admiralty,2020.0,1.0,20.0,0.0,0.0,0.0,0.0,27.6,31.5,25.8,22.0,55.1,,,
20,Admiralty,2020.0,1.0,21.0,24.6,10.6,12.6,13.8,25.9,27.6,24.1,19.4,50.0,,,
21,Admiralty,2020.0,1.0,22.0,0.0,0.0,0.0,0.0,27.6,31.6,25.0,23.0,49.7,,,
22,Admiralty,2020.0,1.0,23.0,0.0,0.0,0.0,0.0,27.7,31.9,25.2,19.8,46.1,,,
23,Admiralty,2020.0,1.0,24.0,0.0,0.0,0.0,0.0,27.6,31.3,25.0,21.2,47.5,,,
24,Admiralty,2020.0,1.0,25.0,0.0,0.0,0.0,0.0,27.6,32.7,24.4,19.4,41.0,,,
25,Admiralty,2020.0,1.0,26.0,0.0,0.0,0.0,0.0,28.1,33.7,24.8,17.3,41.0,,,
26,Admiralty,2020.0,1.0,27.0,39.8,22.2,33.6,39.0,27.4,33.3,23.8,16.2,35.3,,,
27,Admiralty,2020.0,1.0,28.0,0.0,0.0,0.0,0.0,28.2,33.0,25.7,16.9,38.9,,,
