,station,year,month,day,daily rainfall total (mm),highest 30 min rainfall (mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature (°c),maximum temperature (°c),minimum temperature (°c),mean wind speed (km/h),max wind speed (km/h),mean temperature (â°c),maximum temperature (â°c),minimum temperature (â°c)
0,Admiralty,2018,1,1,,,,,,,,,,,,
1,Admiralty,2018,1,2,,,,,,,,,,,,
2,Admiralty,2018,1,3,,,,,,,,,,,,
3,Admiralty,2018,1,4,,,,,,,,,,,,
4,Admiralty,2018,1,5,5,2,3.6,5,25.9,28.2,24.8,5.8,18,,,
5,Admiralty,2018,1,6,0,0,0,0,27.1,31.2,24.6,6.8,23,,,
6,Admiralty,2018,1,7,2.4,2,2,2.4,26.6,32.1,24.2,9,28.8,,,
7,Admiralty,2018,1,8,48,17,26,35.2,26.3,31.6,22.6,6.8,22.3,,,
8,Admiralty,2018,1,9,7.2,5.2,7,7,26.9,32.1,25.1,8.6,32.4,,,
9,Admiralty,2018,1,10,22.2,3.2,5.6,9,24.4,26.3,23.1,8.6,29.2,,,
10,Admiralty,2018,1,11,14.4,1,1.6,2.8,23.4,25.4,21.7,10.8,40,,,
11,Admiralty,2018,1,12,8.6,0.8,1.4,2,22.5,23.4,21.7,11.5,33.5,,,
12,Admiralty,2018,1,13,15.6,3.4,4.2,5.8,22.7,23.4,22,9.4,24.8,,,
13,Admiralty,2018,1,14,5.8,1,1.6,2.8,23.1,24.8,21.2,11.5,38.2,,,
14,Admiralty,2018,1,15,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8,,,
15,Admiralty,2018,1,16,0,0,0,0,25.9,29.1,23.3,11.5,28.4,,,
16,Admiralty,2018,1,17,0,0,0,0,27,31,24.6,13.3,35.6,,,
17,Admiralty,2018,1,18,0,0,0,0,27,31.1,24.5,13.7,35.3,,,
18,Admiralty,2018,1,19,5.6,3.2,3.2,5.2,26.7,33.4,24.1,9,37.4,,,
19,Admiralty,2018,1,20,6.8,5.6,5.6,5.6,26.3,33.2,24.7,6.8,32.4,,,
20,Admiralty,2018,1,21,1.6,1.6,1.6,1.6,27.6,33.6,24.2,9.4,28.4,,,
21,Admiralty,2018,1,22,0,0,0,0,27.7,31.9,25.1,8.3,35.6,,,
22,Admiralty,2018,1,23,20,11.4,13,20,26.7,30,24.1,8.3,36,,,
23,Admiralty,2018,1,24,5.4,3.2,4,4.8,26.6,31.6,23.5,7.6,34.6,,,
24,Admiralty,2018,1,25,12,9,9.8,12,26.7,31.6,24.1,7.9,29.5,,,
25,Admiralty,2018,1,26,0.4,0.4,0.4,0.4,26.4,31.3,24.8,8.3,34.6,,,
26,Admiralty,2018,1,27,0,0,0,0,27.5,33.1,24.8,9,28.1,,,
27,Admiralty,2018,1,28,28,22.8,27.4,27.8,26.6,33,23,9,44.6,,,
28,Admiralty,2018,1,29,0,0,0,0,27.5,32.3,24.1,9.7,34.6,,,
29,Admiralty,2018,1,30,8.4,7.6,8,8.4,27.7,34.7,25.4,9.4,44.3,,,
30,Admiralty,2018,1,31,5.6,2.6,2.8,5.4,27.7,33.1,23.9,12.2,32.4,,,
31,Admiralty,2018,2,1,3.8,3.8,3.8,3.8,28.0,31.8,25.8,15.8,42.5,,,
32,Admiralty,2018,2,2,5.8,1.2,2.0,3.2,25.2,26.5,23.9,12.6,36.4,,,
33,Admiralty,2018,2,3,0.2,0.2,0.2,0.2,26.8,30.5,24.3,15.8,49.7,,,
34,Admiralty,2018,2,4,1.4,1.0,1.0,1.0,26.0,29.3,24.5,15.8,55.4,,,
35,Admiralty,2018,2,5,0.0,0.0,0.0,0.0,26.4,30.0,24.5,17.6,54.0,,,
36,Admiralty,2018,2,6,0.0,0.0,0.0,0.0,26.1,29.8,23.9,16.2,41.8,,,
37,Admiralty,2018,2,7,0.0,0.0,0.0,0.0,25.4,27.9,23.9,14.0,42.5,,,
38,Admiralty,2018,2,8,0.0,0.0,0.0,0.0,25.9,29.3,23.5,14.8,40.0,,,
39,Admiralty,2018,2,9,0.0,0.0,0.0,0.0,26.1,30.9,23.3,16.9,47.9,,,
40,Admiralty,2018,2,10,0.0,0.0,0.0,0.0,26.0,30.7,23.1,14.4,36.7,,,
41,Admiralty,2018,2,11,0.0,0.0,0.0,0.0,26.5,31.2,23.6,14.8,39.2,,,
42,Admiralty,2018,2,12,0.0,0.0,0.0,0.0,26.8,31.2,23.9,17.6,45.7,,,
43,Admiralty,2018,2,13,0.0,0.0,0.0,0.0,26.8,31.7,24.2,15.1,42.1,,,
44,Admiralty,2018,2,14,0.0,0.0,0.0,0.0,26.5,30.6,24.1,15.1,41.4,,,
45,Admiralty,2018,2,15,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1,,,
46,Admiralty,2018,2,16,0.0,0.0,0.0,0.0,27.5,33.0,24.4,9.7,28.8,,,
47,Admiralty,2018,2,17,1.2,0.8,1.2,1.2,27.2,33.4,24.2,10.8,33.8,,,
48,Admiralty,2018,2,18,0.0,0.0,0.0,0.0,27.3,33.6,24.8,11.5,33.8,,,
49,Admiralty,2018,2,19,0.0,0.0,0.0,0.0,27.1,32.0,23.9,15.5,41.4,,,
50,Admiralty,2018,2,20,0.0,0.0,0.0,0.0,27.3,31.9,24.5,14.0,37.8,,,
51,Admiralty,2018,2,21,0.0,0.0,0.0,0.0,27.4,31.3,24.9,14.8,40.3,,,
52,Admiralty,2018,2,22,0.0,0.0,0.0,0.0,27.7,33.8,24.5,13.0,42.5,,,
53,Admiralty,2018,2,23,12.4,11.4,11.6,12.0,26.4,31.5,23.3,10.1,40.7,,,
54,Admiralty,2018,2,24,3.4,1.4,2.4,3.2,25.1,26.9,23.8,10.4,33.5,,,
55,Admiralty,2018,2,25,0.0,0.0,0.0,0.0,26.8,30.4,24.6,12.6,33.1,,,
56,Admiralty,2018,2,26,0.0,0.0,0.0,0.0,27.1,30.4,25.1,15.5,42.5,,,
57,Admiralty,2018,2,27,0.0,0.0,0.0,0.0,27.1,31.3,24.7,13.3,41.4,,,
58,Admiralty,2018,2,28,49.6,28.6,33.6,47.8,27.4,33.4,23.5,10.8,43.2,,,
59,Admiralty,2018,3,1,0.0,0.0,0.0,0.0,27.6,32.0,25.1,11.5,35.6,,,
60,Admiralty,2018,3,2,19.2,14.4,18.0,19.2,27.1,32.7,24.6,8.3,29.2,,,
61,Admiralty,2018,3,3,3.0,2.0,2.0,3.0,27.2,32.1,25.6,9.7,33.5,,,
62,Admiralty,2018,3,4,4.8,4.0,4.8,4.8,27.4,34.8,24.6,6.1,25.6,,,
63,Admiralty,2018,3,5,0.0,0.0,0.0,0.0,28.1,33.1,25.5,13.7,39.2,,,
64,Admiralty,2018,3,6,0.0,0.0,0.0,0.0,28.5,35.6,25.1,7.2,36.7,,,
65,Admiralty,2018,3,7,8.6,5.2,6.6,7.2,26.1,28.5,24.1,8.6,39.6,,,
66,Admiralty,2018,3,8,0.0,0.0,0.0,0.0,26.6,29.3,24.8,10.4,35.6,,,
67,Admiralty,2018,3,9,0.0,0.0,0.0,0.0,27.9,31.7,25.1,16.2,47.5,,,
68,Admiralty,2018,3,10,9.0,4.8,5.0,5.6,26.8,29.7,24.6,16.9,58.3,,,
69,Admiralty,2018,3,11,0.0,0.0,0.0,0.0,27.2,30.7,24.8,15.5,44.3,,,
70,Admiralty,2018,3,12,0.0,0.0,0.0,0.0,27.5,30.7,25.2,13.3,40.3,,,
71,Admiralty,2018,3,13,0.0,0.0,0.0,0.0,27.7,31.5,25.5,12.2,41.0,,,
72,Admiralty,2018,3,14,0.0,0.0,0.0,0.0,28.1,33.2,25.4,11.2,36.0,,,
73,Admiralty,2018,3,15,0.0,0.0,0.0,0.0,28.5,34.8,25.2,9.7,27.4,,,
74,Admiralty,2018,3,16,0.0,0.0,0.0,0.0,28.2,33.0,26.4,13.0,33.8,,,
75,Admiralty,2018,3,17,0.0,0.0,0.0,0.0,28.4,33.6,25.9,12.2,35.3,,,
76,Admiralty,2018,3,18,0.0,0.0,0.0,0.0,28.1,32.1,25.7,14.0,41.4,,,
77,Admiralty,2018,3,19,0.6,0.6,0.6,0.6,28.4,33.6,25.7,11.5,32.8,,,
78,Admiralty,2018,3,20,0.0,0.0,0.0,0.0,28.1,33.5,26.0,10.4,32.8,,,
79,Admiralty,2018,3,21,0.0,0.0,0.0,0.0,27.9,32.6,25.6,8.3,37.4,,,
80,Admiralty,2018,3,22,0.0,0.0,0.0,0.0,28.5,33.1,26.2,16.2,41.8,,,
81,Admiralty,2018,3,23,0.0,0.0,0.0,0.0,28.4,32.7,25.9,15.1,38.2,,,
82,Admiralty,2018,3,24,0.0,0.0,0.0,0.0,27.9,32.2,24.9,12.6,41.0,,,
83,Admiralty,2018,3,25,2.4,1.0,1.2,1.2,26.6,30.3,24.6,8.3,29.9,,,
84,Admiralty,2018,3,26,0.0,0.0,0.0,0.0,27.5,32.3,25.5,10.4,42.1,,,
85,Admiralty,2018,3,27,3.0,1.2,1.4,1.8,25.1,27.3,23.5,10.8,36.7,,,
86,Admiralty,2018,3,28,11.6,9.8,10.4,11.0,26.4,33.3,23.0,7.2,40.0,,,
87,Admiralty,2018,3,29,2.6,1.8,2.4,2.6,26.5,30.8,24.3,6.8,27.7,,,
88,Admiralty,2018,3,30,9.0,4.2,7.0,7.4,26.1,32.1,22.4,6.1,32.8,,,
89,Admiralty,2018,3,31,0.0,0.0,0.0,0.0,27.5,33.6,24.7,8.3,36.0,,,
90,Admiralty,2018,4,1,32.2,18.0,29.8,32.2,27.0,32.3,22.6,9.0,27.0,,,
91,Admiralty,2018,4,2,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6,,,
92,Admiralty,2018,4,3,0.0,0.0,0.0,0.0,28.3,32.5,25.9,11.9,36.4,,,
93,Admiralty,2018,4,4,0.0,0.0,0.0,0.0,28.2,32.7,25.8,12.2,33.1,,,
94,Admiralty,2018,4,5,0.0,0.0,0.0,0.0,28.1,33.4,25.3,11.5,31.0,,,
95,Admiralty,2018,4,6,0.0,0.0,0.0,0.0,28.1,33.3,25.2,10.1,34.6,,,
96,Admiralty,2018,4,7,2.8,2.0,2.2,2.4,27.6,32.8,25.5,11.5,37.1,,,
97,Admiralty,2018,4,8,0.0,0.0,0.0,0.0,27.9,31.4,26.0,14.8,38.9,,,
98,Admiralty,2018,4,9,0.0,0.0,0.0,0.0,28.3,31.9,26.1,16.6,46.8,,,
99,Admiralty,2018,4,10,0.0,0.0,0.0,0.0,28.5,32.9,26.0,9.7,31.7,,,
100,Admiralty,2018,4,11,0.0,0.0,0.0,0.0,28.9,33.2,25.8,11.9,35.6,,,
101,Admiralty,2018,4,12,0.0,0.0,0.0,0.0,29.1,33.6,26.5,10.8,32.8,,,
102,Admiralty,2018,4,13,0.0,0.0,0.0,0.0,29.1,33.3,26.7,13.7,43.2,,,
103,Admiralty,2018,4,14,28.6,28.2,28.6,28.6,27.4,30.9,24.3,6.5,32.0,,,
104,Admiralty,2018,4,15,15.6,8.6,9.8,10.8,26.7,32.7,24.4,6.8,36.4,,,
105,Admiralty,2018,4,16,2.6,1.4,1.4,2.0,26.0,30.1,24.9,6.5,30.6,,,
106,Admiralty,2018,4,17,0.2,0.2,0.2,0.2,27.3,33.1,25.0,6.5,25.9,,,
107,Admiralty,2018,4,18,0.0,0.0,0.0,0.0,28.5,32.5,25.7,11.9,36.4,,,
108,Admiralty,2018,4,19,1.2,1.0,1.0,1.0,27.7,32.5,25.6,7.9,43.2,,,
109,Admiralty,2018,4,20,27.6,24.6,27.2,27.6,27.1,32.1,24.0,8.6,33.5,,,
110,Admiralty,2018,4,21,13.4,6.6,9.8,12.2,26.6,32.4,24.5,5.8,31.0,,,
111,Admiralty,2018,4,22,12.0,11.6,11.6,11.6,27.4,33.8,25.0,5.8,34.2,,,
112,Admiralty,2018,4,23,1.0,0.6,0.8,1.0,26.9,32.9,24.3,6.1,36.0,,,
113,Admiralty,2018,4,24,0.8,0.8,0.8,0.8,28.0,31.3,25.1,6.5,22.7,,,
114,Admiralty,2018,4,25,0.0,0.0,0.0,0.0,29.5,33.2,26.1,7.6,27.7,,,
115,Admiralty,2018,4,26,30.0,27.6,27.8,30.0,28.6,33.9,24.0,8.3,51.8,,,
116,Admiralty,2018,4,27,15.8,5.8,11.0,14.2,26.4,33.2,22.9,6.8,43.2,,,
117,Admiralty,2018,4,28,54.2,45.6,53.8,54.2,27.1,34.8,22.0,6.1,56.5,,,
118,Admiralty,2018,4,29,0.0,0.0,0.0,0.0,29.2,33.6,24.8,6.5,32.0,,,
119,Admiralty,2018,4,30,6.4,5.6,6.4,6.4,28.3,33.5,24.5,9.0,39.6,,,
120,Admiralty,2018,5,1,6.6,2.2,2.2,3.2,26.1,28.3,25.3,5.4,22.0,,,
121,Admiralty,2018,5,2,0.4,0.2,0.2,0.2,27.5,34.8,24.4,5.4,59.4,,,
122,Admiralty,2018,5,3,3.2,3.0,3.2,3.2,27.7,34.3,25.1,5.4,43.6,,,
123,Admiralty,2018,5,4,3.0,2.0,2.2,2.2,28.4,35.1,25.5,5.4,21.2,,,
124,Admiralty,2018,5,5,18.0,11.2,11.2,11.2,27.2,31.2,25.1,5.8,37.8,,,
125,Admiralty,2018,5,6,0.0,0.0,0.0,0.0,28.7,33.8,25.6,6.5,29.9,,,
126,Admiralty,2018,5,7,0.0,0.0,0.0,0.0,29.5,33.9,25.9,6.5,30.2,,,
127,Admiralty,2018,5,8,0.0,0.0,0.0,0.0,30.1,34.1,26.8,7.6,27.4,,,
128,Admiralty,2018,5,9,0.0,0.0,0.0,0.0,30.2,34.5,28.2,11.2,32.0,,,
129,Admiralty,2018,5,10,0.0,0.0,0.0,0.0,29.5,33.1,27.1,8.6,42.1,,,
130,Admiralty,2018,5,11,3.0,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8,,,
131,Admiralty,2018,5,12,21.0,12.8,16.0,20.8,29.1,34.2,25.3,7.9,29.2,,,
132,Admiralty,2018,5,13,2.2,0.8,1.4,1.8,27.9,31.5,25.1,5.0,21.2,,,
133,Admiralty,2018,5,14,0.0,0.0,0.0,0.0,28.9,33.3,26.5,5.4,24.1,,,
134,Admiralty,2018,5,15,8.2,7.2,7.4,8.2,28.1,32.3,26.4,4.3,23.8,,,
135,Admiralty,2018,5,16,89.4,64.8,85.6,88.8,26.7,32.8,22.7,5.4,60.5,,,
136,Admiralty,2018,5,17,20.2,15.6,15.8,15.8,27.7,31.9,24.4,4.3,32.0,,,
137,Admiralty,2018,5,18,43.6,24.4,34.6,41.4,27.1,32.7,23.2,6.1,25.6,,,
138,Admiralty,2018,5,19,0.2,0.2,0.2,0.2,27.1,33.5,25.0,5.0,27.7,,,
139,Admiralty,2018,5,20,0.8,0.8,0.8,0.8,26.7,30.1,25.1,4.7,18.7,,,
140,Admiralty,2018,5,21,0.0,0.0,0.0,0.0,28.0,32.1,25.9,4.7,22.7,,,
141,Admiralty,2018,5,22,0.0,0.0,0.0,0.0,28.0,33.3,26.0,5.8,28.1,,,
142,Admiralty,2018,5,23,3.4,1.0,1.6,2.2,27.1,30.6,24.5,7.6,40.3,,,
143,Admiralty,2018,5,24,1.0,0.4,0.6,0.8,28.2,34.4,24.0,10.1,35.3,,,
144,Admiralty,2018,5,25,0.0,0.0,0.0,0.0,28.9,34.1,25.8,7.6,32.8,,,
145,Admiralty,2018,5,26,13.4,10.2,11.0,11.6,27.7,32.6,24.5,6.1,25.9,,,
146,Admiralty,2018,5,27,1.4,1.2,1.2,1.2,27.4,32.3,25.2,6.1,25.9,,,
147,Admiralty,2018,5,28,2.2,1.2,1.8,1.8,27.5,30.0,25.4,5.8,30.2,,,
148,Admiralty,2018,5,29,7.6,6.8,7.4,7.4,28.1,32.7,24.7,5.8,28.1,,,
149,Admiralty,2018,5,30,0.0,0.0,0.0,0.0,27.5,32.0,25.8,5.0,21.6,,,
150,Admiralty,2018,5,31,0.0,0.0,0.0,0.0,27.8,31.2,25.8,5.4,27.7,,,
151,Admiralty,2018,6,1,13.8,2.6,4.6,7.4,27.5,31.0,24.4,5.4,37.1,,,
152,Admiralty,2018,6,2,40.8,27.0,35.6,37.8,27.0,31.3,22.2,5.8,43.6,,,
153,Admiralty,2018,6,3,0.0,0.0,0.0,0.0,28.7,32.4,26.2,5.4,24.8,,,
154,Admiralty,2018,6,4,0.0,0.0,0.0,0.0,29.8,33.5,26.7,5.4,28.1,,,
155,Admiralty,2018,6,5,0.0,0.0,0.0,0.0,29.8,33.9,25.1,6.5,25.2,,,
156,Admiralty,2018,6,6,0.0,0.0,0.0,0.0,30.1,34.0,26.7,6.1,22.3,,,
157,Admiralty,2018,6,7,0.0,0.0,0.0,0.0,30.3,34.1,28.4,6.5,26.6,,,
158,Admiralty,2018,6,8,0.0,0.0,0.0,0.0,28.9,32.6,24.7,7.6,52.9,,,
159,Admiralty,2018,6,9,0.0,0.0,0.0,0.0,29.5,33.0,26.5,5.4,25.2,,,
160,Admiralty,2018,6,10,0.0,0.0,0.0,0.0,29.5,32.1,27.9,6.5,22.7,,,
161,Admiralty,2018,6,11,0.0,0.0,0.0,0.0,30.1,33.7,28.1,7.2,31.7,,,
162,Admiralty,2018,6,12,0.0,0.0,0.0,0.0,29.7,32.3,28.3,6.1,28.1,,,
163,Admiralty,2018,6,13,4.2,2.4,2.4,2.4,27.9,31.3,24.8,6.1,38.5,,,
164,Admiralty,2018,6,14,0.8,0.8,0.8,0.8,28.1,31.8,25.8,4.7,36.4,,,
165,Admiralty,2018,6,15,0.8,0.6,0.8,0.8,26.9,28.4,23.7,5.4,42.8,,,
166,Admiralty,2018,6,16,0.0,0.0,0.0,0.0,28.9,33.0,25.8,6.1,27.0,,,
167,Admiralty,2018,6,17,0.0,0.0,0.0,0.0,29.7,32.9,27.6,5.8,26.6,,,
168,Admiralty,2018,6,18,2.0,1.6,1.8,2.0,28.1,30.8,25.0,5.4,34.9,,,
169,Admiralty,2018,6,19,3.4,2.0,2.2,3.4,27.4,30.2,23.7,7.9,61.6,,,
170,Admiralty,2018,6,20,3.6,1.6,2.4,3.0,26.6,30.2,24.3,5.0,38.9,,,
171,Admiralty,2018,6,21,3.4,3.0,3.0,3.0,27.1,32.4,25.1,5.8,29.9,,,
172,Admiralty,2018,6,22,24.4,15.2,21.6,24.0,27.7,32.8,25.0,5.4,27.4,,,
